sample_id,repository,workflow_id,workflow_path,commit_date,final_label,true_label,predicted_class,predicted_label,probability_LOW,probability_MEDIUM,probability_HIGH,confidence,correct,rf_correct,conf_bin
gha_0002200,MoonMoon1919/doyoucompute,178529097,.github/workflows/ci.yml,2025-08-07T13:30:04Z,1,MEDIUM,1,MEDIUM,0.29607858761246664,0.36430019518327433,0.339621217204259,0.36430019518327433,True,True,"(0.0, 0.5]"
gha_0008854,microsoft/mcp-for-beginners,162353653,.github/workflows/co-op-translator.yml,2025-08-28T21:33:27Z,2,HIGH,0,LOW,0.3643358127677901,0.30460389465127896,0.33106029258093084,0.3643358127677901,False,False,"(0.0, 0.5]"
gha_0008852,microsoft/mcp-for-beginners,162353653,.github/workflows/co-op-translator.yml,2025-07-22T06:49:32Z,0,LOW,0,LOW,0.3643360270275616,0.3045747408775948,0.3310892320948436,0.3643360270275616,True,True,"(0.0, 0.5]"
gha_0008853,microsoft/mcp-for-beginners,162353653,.github/workflows/co-op-translator.yml,2025-08-18T19:26:45Z,0,LOW,0,LOW,0.3643360270275616,0.3045747408775948,0.3310892320948436,0.3643360270275616,True,True,"(0.0, 0.5]"
gha_0002205,Moonsong-Labs/agent-prompttrain,168826920,.github/workflows/typecheck.yml,2025-06-17T19:45:46Z,2,HIGH,1,MEDIUM,0.3090572122280926,0.36438789336996635,0.3265548944019409,0.36438789336996635,False,False,"(0.0, 0.5]"
gha_0002204,Moonsong-Labs/agent-prompttrain,168826920,.github/workflows/typecheck.yml,2025-06-16T11:59:47Z,2,HIGH,1,MEDIUM,0.3090572122280926,0.36438789336996635,0.3265548944019409,0.36438789336996635,False,False,"(0.0, 0.5]"
gha_0003052,Syonix/ha-wiser-by-feller,159211718,.github/workflows/test.yml,2025-05-06T10:23:44Z,1,MEDIUM,1,MEDIUM,0.29487146415429505,0.36447350496399106,0.34065503088171395,0.36447350496399106,True,True,"(0.0, 0.5]"
gha_0012702,yaml/go-yaml,183552309,.github/workflows/files.yaml,2025-09-11T14:33:26Z,1,MEDIUM,1,MEDIUM,0.3392065366050281,0.3647793094511052,0.29601415394386676,0.3647793094511052,True,True,"(0.0, 0.5]"
gha_0005799,dstogov/rcc,182342399,.github/workflows/push.yml,2025-08-19T12:02:08Z,1,MEDIUM,1,MEDIUM,0.3292897184376851,0.3650018042859902,0.30570847727632466,0.3650018042859902,True,True,"(0.0, 0.5]"
gha_0004986,celo-org/celo-kona,176324060,.github/workflows/proof.yaml,2025-07-24T10:46:55Z,2,HIGH,2,HIGH,0.30185912711832924,0.33265569338199774,0.3654851794996731,0.3654851794996731,True,False,"(0.0, 0.5]"
gha_0006634,gnosispay/ui,180518772,.github/workflows/docker-pse-backend.yml,2025-08-11T12:22:58Z,0,LOW,0,LOW,0.3664493694598975,0.29473721287480614,0.3388134176652964,0.3664493694598975,True,True,"(0.0, 0.5]"
gha_0010221,qdhenry/Claude-Command-Suite,173110506,.github/workflows/pr-check.yml,2025-07-07T17:48:51Z,1,MEDIUM,2,HIGH,0.30516666029969125,0.32832356572321647,0.3665097739770923,0.3665097739770923,False,False,"(0.0, 0.5]"
gha_0005994,element-hq/sygnal,167447493,.github/workflows/docker_check.yml,2025-07-14T20:57:13Z,0,LOW,0,LOW,0.3666931684210632,0.3644940849289181,0.26881274665001864,0.3666931684210632,True,False,"(0.0, 0.5]"
